
                                                                                                                                    
 ▄▄▄▄▄▄▄ ▄▄▄   ▄▄▄  ▄▄▄▄▄▄▄       ▄▄▄▄▄▄▄                ▄▄              ▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄    ▄▄▄▄▄▄▄   ▄▄▄▄   ▄▄▄      ▄▄▄ 
███▀▀▀▀▀ ███   ███ ███▀▀▀▀▀       ███▀▀███▄       ▀▀     ██             █████▀▀▀ ▀▀▀███▀▀▀ ███▀▀███▄ ███▀▀▀▀▀ ▄██▀▀██▄ ████▄  ▄████ 
███▄▄    █████████ ███▄▄          ███▄▄███▀  ▀▀█▄ ██  ▄████ ▄█▀█▄ ████▄  ▀████▄     ███    ███▄▄███▀ ███▄▄    ███  ███ ███▀████▀███ 
███▀▀    ███▀▀▀███ ███      ▀▀▀▀▀ ███▀▀██▄  ▄█▀██ ██  ██ ██ ██▄█▀ ██ ▀▀    ▀████    ███    ███▀▀██▄  ███      ███▀▀███ ███  ▀▀  ███ 
███      ███   ███ ▀███████       ███  ▀███ ▀█▄██ ██▄ ▀████ ▀█▄▄▄ ██    ███████▀    ███    ███  ▀███ ▀███████ ███  ███ ███      ███ 
                                                                                                                                    
                                                                                                                                    

Running without Marker API. Activate Marker API with -m on commandline.
2026-07-27T17:01:08-05:00
Running ./build/fhe_raiderstream
Run on (256 X 400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x256)
  L1 Instruction 32 KiB (x256)
  L2 Unified 1024 KiB (x256)
  L3 Unified 16384 KiB (x32)
Load Average: 0.11, 0.06, 1.30
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
------------------------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations UserCounters...
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0              5223 ms         3402 ms            1 ObjectToPayloadRatio=0.70005 PayloadBandwidth=22.0954G/s RSSDeg1BytesPerCt=85.9109M RSSDeg2BytesPerCt=347.172M SerializedBandwidth=15.4679G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=20.578Gi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0              4947 ms         3515 ms            1 ObjectToPayloadRatio=0.70005 PayloadBandwidth=21.3828G/s RSSDeg1BytesPerCt=86.351M RSSDeg2BytesPerCt=346.328M SerializedBandwidth=14.969G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=19.9142Gi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0              5009 ms         3558 ms            1 ObjectToPayloadRatio=0.70005 PayloadBandwidth=21.1275G/s RSSDeg1BytesPerCt=85.0262M RSSDeg2BytesPerCt=350.172M SerializedBandwidth=14.7903G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=19.6765Gi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0              4879 ms         3542 ms            1 ObjectToPayloadRatio=0.70005 PayloadBandwidth=21.2202G/s RSSDeg1BytesPerCt=84.8734M RSSDeg2BytesPerCt=350.881M SerializedBandwidth=14.8552G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=19.7629Gi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0              4880 ms         3495 ms            1 ObjectToPayloadRatio=0.70005 PayloadBandwidth=21.5079G/s RSSDeg1BytesPerCt=85.3291M RSSDeg2BytesPerCt=349.371M SerializedBandwidth=15.0566G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=20.0308Gi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0_mean         4988 ms         3502 ms            5 ObjectToPayloadRatio=0.70005 PayloadBandwidth=21.4668G/s RSSDeg1BytesPerCt=85.4981M RSSDeg2BytesPerCt=348.785M SerializedBandwidth=15.0278G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=19.9925Gi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0_median       4947 ms         3515 ms            5 ObjectToPayloadRatio=0.70005 PayloadBandwidth=21.3828G/s RSSDeg1BytesPerCt=85.3291M RSSDeg2BytesPerCt=349.371M SerializedBandwidth=14.969G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=19.9142Gi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0_stddev        142 ms         61.2 ms            5 ObjectToPayloadRatio=0 PayloadBandwidth=380.747M/s RSSDeg1BytesPerCt=620.349k RSSDeg2BytesPerCt=1.9557M SerializedBandwidth=266.542M/s SerializedBytesPerCt=0 SerializedDeg2BytesPerCt=1.11803 bytes_per_second=363.109Mi/s
CTFixture/CT_SEQ_MULT_NO_RELIN/131072/40/0_cv           2.85 %          1.75 %             5 ObjectToPayloadRatio=0.00% PayloadBandwidth=1.77% RSSDeg1BytesPerCt=0.73% RSSDeg2BytesPerCt=0.56% SerializedBandwidth=1.77% SerializedBytesPerCt=0.00% SerializedDeg2BytesPerCt=0.00% bytes_per_second=1.77%
CTFixture/CT_SEQ_RELIN/131072/40/0                     36589 ms        14408 ms            1 ObjectToPayloadRatio=0.700051 PayloadBandwidth=3.72611G/s RSSDeg1BytesPerCt=85.313M RSSDeg2BytesPerCt=349.592M SerializedBandwidth=2.60846G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=3.47021Gi/s
CTFixture/CT_SEQ_RELIN/131072/40/0                     32578 ms        13745 ms            1 ObjectToPayloadRatio=0.700051 PayloadBandwidth=3.90597G/s RSSDeg1BytesPerCt=84.5914M RSSDeg2BytesPerCt=350.217M SerializedBandwidth=2.73438G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=3.63772Gi/s
CTFixture/CT_SEQ_RELIN/131072/40/0                     31239 ms        13777 ms            1 ObjectToPayloadRatio=0.700051 PayloadBandwidth=3.8969G/s RSSDeg1BytesPerCt=85.0454M RSSDeg2BytesPerCt=350.08M SerializedBandwidth=2.72803G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=3.62927Gi/s
CTFixture/CT_SEQ_RELIN/131072/40/0                     31302 ms        15208 ms            1 ObjectToPayloadRatio=0.700051 PayloadBandwidth=3.53026G/s RSSDeg1BytesPerCt=85.2947M RSSDeg2BytesPerCt=350.13M SerializedBandwidth=2.47136G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=3.28781Gi/s
CTFixture/CT_SEQ_RELIN/131072/40/0                     30864 ms        11904 ms            1 ObjectToPayloadRatio=0.700051 PayloadBandwidth=4.51003G/s RSSDeg1BytesPerCt=85.5534M RSSDeg2BytesPerCt=348.657M SerializedBandwidth=3.15725G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=4.20029Gi/s
CTFixture/CT_SEQ_RELIN/131072/40/0_mean                32514 ms        13808 ms            5 ObjectToPayloadRatio=0.700051 PayloadBandwidth=3.91385G/s RSSDeg1BytesPerCt=85.1596M RSSDeg2BytesPerCt=349.735M SerializedBandwidth=2.7399G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=3.64506Gi/s
CTFixture/CT_SEQ_RELIN/131072/40/0_median              31302 ms        13777 ms            5 ObjectToPayloadRatio=0.700051 PayloadBandwidth=3.8969G/s RSSDeg1BytesPerCt=85.2947M RSSDeg2BytesPerCt=350.08M SerializedBandwidth=2.72803G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=3.62927Gi/s
CTFixture/CT_SEQ_RELIN/131072/40/0_stddev               2368 ms         1220 ms            5 ObjectToPayloadRatio=0 PayloadBandwidth=366.8M/s RSSDeg1BytesPerCt=364.957k RSSDeg2BytesPerCt=649.782k SerializedBandwidth=256.779M/s SerializedBytesPerCt=0 SerializedDeg2BytesPerCt=1.11803 bytes_per_second=349.808Mi/s
CTFixture/CT_SEQ_RELIN/131072/40/0_cv                   7.28 %          8.83 %             5 ObjectToPayloadRatio=0.00% PayloadBandwidth=9.37% RSSDeg1BytesPerCt=0.43% RSSDeg2BytesPerCt=0.19% SerializedBandwidth=9.37% SerializedBytesPerCt=0.00% SerializedDeg2BytesPerCt=0.00% bytes_per_second=9.37%
